0.45*0(0),0.3*0(0),0.15*1(0),0.1*4(0),0.045*3(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*77(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*48(0),0.045*76(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*2(0),0.1*74(0),0.045*62(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*7(0),0.1*99(0),0.045*72(0),0.015*0(0)
0.45*0(0),0.3*9(0),0.15*5(0),0.1*22(5),0.045*68(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*4(0),0.1*73(0),0.045*55(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*1(0),0.1*47(0),0.045*33(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*6(0),0.1*77(0),0.045*38(0),0.015*0(0)
0.45*0(0),0.3*5(0),0.15*18(0),0.1*51(0),0.045*90(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*7(0),0.1*79(0),0.045*44(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*3(0),0.1*52(0),0.045*58(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*64(0),0.045*70(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*29(0),0.1*42(0),0.045*42(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*72(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*75(0),0.045*49(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*17(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*16(1),0.015*0(0)
0.45*0(0),0.3*31(0),0.15*0(0),0.1*28(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*69(0),0.045*84(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*114(0),0.045*60(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*185(1),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*66(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*74(0),0.045*59(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*71(0),0.045*66(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*59(0),0.045*66(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*48(0),0.045*59(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*25(0),0.045*61(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*78(0),0.045*67(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*29(0),0.045*44(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*34(0),0.1*83(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*9(0),0.1*75(0),0.045*56(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*58(0),0.045*52(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*192(0),0.045*1(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*3(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*8(0),0.045*138(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*139(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*140(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*89(0),0.045*29(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*82(0),0.045*74(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*101(1),0.045*53(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*7(0),0.1*46(0),0.045*74(1),0.015*0(0)
