0.45*0(0),0.3*0(0),0.15*2(0),0.1*9(0),0.045*5(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*2(1),0.045*158(3),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*93(1),0.045*151(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*2(0),0.1*143(0),0.045*129(1),0.015*0(0)
0.45*0(0),0.3*10(1),0.15*15(0),0.1*193(0),0.045*144(0),0.015*0(0)
0.45*0(0),0.3*13(0),0.15*11(0),0.1*43(10),0.045*147(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*7(0),0.1*153(0),0.045*109(0),0.015*0(0)
0.45*0(0),0.3*7(0),0.15*4(0),0.1*93(0),0.045*72(1),0.015*0(0)
0.45*0(0),0.3*6(0),0.15*14(0),0.1*158(0),0.045*77(0),0.015*0(0)
0.45*0(0),0.3*7(0),0.15*35(0),0.1*99(0),0.045*188(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*14(0),0.1*159(0),0.045*83(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*5(0),0.1*105(0),0.045*111(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*127(0),0.045*136(1),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*60(0),0.1*85(0),0.045*87(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*4(0),0.1*145(0),0.045*56(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*155(0),0.045*99(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*31(0),0.045*28(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*72(0),0.045*32(2),0.015*0(0)
0.45*0(0),0.3*64(0),0.15*0(0),0.1*54(0),0.045*36(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*135(0),0.045*169(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*229(0),0.045*123(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*371(1),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*133(0),0.045*60(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*158(0),0.045*129(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*139(0),0.045*126(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*121(0),0.045*135(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*99(1),0.045*119(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*50(0),0.045*123(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*149(0),0.045*132(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*26(0),0.1*56(0),0.045*87(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*69(0),0.1*163(0),0.045*18(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*18(0),0.1*145(0),0.045*110(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*126(0),0.045*104(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*377(0),0.045*1(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(1),0.045*8(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*13(1),0.045*279(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*286(0),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*275(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*179(0),0.045*58(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*165(0),0.045*150(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*198(2),0.045*107(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*96(0),0.045*149(1),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*6(0),0.1*172(0),0.045*96(1),0.015*0(0)
0.45*0(0),0.3*23(0),0.15*5(0),0.1*69(1),0.045*107(6),0.015*0(0)
0.45*0(0),0.3*7(0),0.15*18(0),0.1*113(0),0.045*108(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*1(0),0.1*149(0),0.045*83(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*6(0),0.1*108(2),0.045*114(0),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*7(0),0.1*95(0),0.045*175(2),0.015*0(0)
0.45*0(0),0.3*4(0),0.15*9(0),0.1*105(0),0.045*85(0),0.015*0(0)
0.45*0(0),0.3*5(0),0.15*3(0),0.1*106(0),0.045*141(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*117(0),0.045*102(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*92(2),0.045*113(2),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*37(0),0.045*127(0),0.015*0(0)
