0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*4(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*22(0),0.045*0(0),0.015*36(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*40(0),0.045*6(0),0.015*17(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*35(0),0.045*7(0),0.015*25(0)
0.45*0(0),0.3*26(0),0.15*0(0),0.1*8(0),0.045*3(0),0.015*28(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*2(0),0.015*33(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*45(0),0.045*9(0),0.015*10(0)
0.45*0(0),0.3*9(0),0.15*0(0),0.1*30(0),0.045*19(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*12(0),0.045*4(0),0.015*51(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*0(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*8(0),0.045*0(0),0.015*61(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*17(0),0.015*44(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*48(0),0.045*0(0),0.015*21(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*34(0),0.045*6(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*51(0),0.045*2(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*37(0),0.045*4(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*33(0),0.015*24(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*39(0),0.045*10(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*10(0),0.045*6(0),0.015*50(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*1(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*16(0),0.045*45(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*13(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*40(0),0.045*8(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*14(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*35(0),0.045*3(0),0.015*31(0)
