50700,4665896876(0:1;),192299653(),1836173247(),2437926070(),2902878525(),2902878580(),3244832720(),3996125377(),3998352223(),4028922835(),4476805516(),4665617026(),4665712499(),4665891113(),4665892165(),4665897416(),4665897969(),4665903885(),4765556460(),4811385025(),4857080139(),4857081234(),4857082814(),4861489847(),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(),4974636262(),4974636615(),4974637317(),4974637670(),4974638024(),4974639465(),4974639809(),4974641217(),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(),5456887674(),5456984290(),5494054149(),5544435560(),5567180387(),5576569593(),5633031188(),5664371117(),5844816811(),5889934721(),5912313637(),5921809619(),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(),6119300167(),6133390513(),6133391745(),6176114691(),6176858948(),6176871439(),6183975952(),6184860354(),6184995193(),6186120532(),6186409027(),6186409254(),6206862915(),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(),6233284111(),6236788405(),6238340468(),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(),6240926079(),6254115034(),
76500,4665896876(0:3;),192299653(0:2;),1836173247(0:1;),2437926070(0:1;),2902878525(0:4;),2902878580(0:9;1:10;),3244832720(1:1;),3996125377(1:1;),3998352223(1:1;),4028922835(1:7;2:3;),4476805516(2:5;),4665617026(2:4;),4665712499(2:1;3:7;),4665891113(3:6;),4665892165(4:5;),4665897416(4:3;),4665897969(4:1;),4665903885(4:4;),4765556460(5:6;),4811385025(6:1;),4857080139(6:3;),4857081234(6:2;),4857082814(7:3;),4861489847(7:1;),4962227484(7:1;),4974633892(7:1;8:1;),4974634423(8:2;),4974635509(8:1;),4974635914(8:2;),4974636262(9:2;),4974636615(9:1;),4974637317(9:2;),4974637670(9:1;),4974638024(10:2;),4974639465(10:2;),4974639809(10:1;),4974641217(10:1;11:1;),4974641577(11:2;),4974641942(11:1;),5022579678(11:2;),5310996749(12:1;),5351575862(12:1;),5402488769(12:4;13:6;14:6;15:4;),5456887674(15:1;),5456984290(15:1;16:1;),5494054149(16:2;),5544435560(16:3;),5567180387(17:1;37:1;),5576569593(17:1;),5633031188(17:4;),5664371117(18:4;),5844816811(18:1;),5889934721(18:1;19:3;),5912313637(19:2;),5921809619(19:1;20:1;),5950686756(20:1;),5950830609(20:1;),5960925264(),5966089485(20:2;),6000618870(20:1;21:1;),6114773114(21:5;22:5;),6119300167(22:1;23:1;),6133390513(23:3;),6133391745(23:2;),6176114691(24:1;),6176858948(24:5;25:6;26:5;),6176871439(26:1;27:6;28:6;29:2;),6183975952(29:1;),6184860354(29:1;),6184995193(29:2;),6186120532(30:5;),6186409027(30:1;),6186409254(31:2;),6206862915(31:4;),6206866677(32:1;),6206868490(32:1;),6207115053(32:1;),6219557576(32:2;),6225099547(1:2;2:3;3:3;4:3;5:3;6:3;7:3;8:2;),6233284111(8:1;9:2;),6236788405(9:1;),6238340468(0:1;10:3;11:3;32:1;33:6;34:2;38:1;),6238835298(34:1;),6238835525(34:1;),6238836357(34:1;),6238837081(34:1;),6238837822(35:1;),6238838528(35:1;),6238839290(35:1;),6238840043(35:1;),6238841354(35:1;),6238842108(35:1;),6238842343(36:1;),6238843128(36:1;),6238843875(36:1;),6238844615(36:2;),6239416246(36:1;),6239580865(37:1;),6240256777(37:1;),6240926079(37:1;),6254115034(37:2;),
76800,4665896876(0:3;19:1;),192299653(0:2;),1836173247(0:2;),2437926070(0:1;),2902878525(0:3;),2902878580(0:9;1:11;),3244832720(1:2;),3996125377(1:1;),3998352223(1:1;),4028922835(1:5;2:5;),4476805516(2:5;),4665617026(2:3;3:2;),4665712499(3:8;),4665891113(3:3;4:3;),4665892165(4:5;),4665897416(4:3;),4665897969(4:1;),4665903885(4:1;5:3;),4765556460(5:3;6:3;),4811385025(6:2;),4857080139(6:1;7:2;),4857081234(7:2;),4857082814(7:2;8:1;),4861489847(8:1;),4962227484(8:1;),4974633892(8:2;),4974634423(8:1;),4974635509(9:2;),4974635914(9:2;),4974636262(9:1;),4974636615(9:1;10:1;),4974637317(10:2;),4974637670(10:1;),4974638024(10:2;),4974639465(11:2;),4974639809(11:1;),4974641217(11:2;),4974641577(11:1;12:1;),4974641942(12:1;),5022579678(12:1;),5310996749(12:1;),5351575862(12:1;),5402488769(0:4;3:9;12:1;13:6;),5456887674(3:1;4:1;),5456984290(4:3;),5494054149(4:2;),5544435560(4:2;),5567180387(4:1;),5576569593(4:1;),5633031188(1:2;5:1;6:1;),5664371117(2:1;7:1;8:1;9:1;10:1;11:1;),5844816811(12:1;),5889934721(13:1;14:1;15:1;16:1;),5912313637(17:1;18:1;),5921809619(20:1;21:1;),5950686756(22:1;),5950830609(23:1;),5960925264(24:1;),5966089485(2:1;24:1;),6000618870(3:1;),6114773114(4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;24:1;),6119300167(14:1;),6133390513(15:1;16:1;17:1;),6133391745(18:1;19:1;),6176114691(20:2;),6176858948(20:11;21:4;),6176871439(21:9;22:7;),6183975952(22:1;),6184860354(22:1;),6184995193(22:2;),6186120532(22:2;23:3;),6186409027(23:1;),6186409254(23:2;),6206862915(23:3;),6206866677(23:1;),6206868490(23:1;),6207115053(23:1;),6219557576(23:1;24:1;),6225099547(24:23;),6233284111(24:3;),6236788405(24:1;),6238340468(0:1;14:6;15:6;16:2;24:1;),6238835298(16:1;),6238835525(16:1;),6238836357(16:1;),6238837081(16:1;),6238837822(17:1;),6238838528(17:1;),6238839290(17:1;),6238840043(17:1;),6238841354(17:1;),6238842108(17:1;),6238842343(18:1;),6238843128(18:1;),6238843875(18:1;),6238844615(18:1;),6239416246(18:1;),6239580865(18:1;19:2;),6240256777(19:1;),6240926079(19:1;),6254115034(19:2;),
77100,4665896876(2:1;3:1;5:1;),192299653(4:1;),1836173247(5:1;),2437926070(5:2;),2902878525(5:3;6:1;),2902878580(6:12;7:7;),3244832720(7:2;),3996125377(7:2;),3998352223(7:1;),4028922835(7:1;8:8;),4476805516(8:5;),4665617026(9:4;),4665712499(9:7;),4665891113(9:2;10:5;),4665892165(10:5;),4665897416(10:3;),4665897969(11:2;),4665903885(11:4;),4765556460(11:7;),4811385025(12:2;),4857080139(12:3;),4857081234(12:2;),4857082814(12:3;),4861489847(12:1;),4962227484(12:2;),4974633892(13:1;),4974634423(13:2;),4974635509(13:1;),4974635914(13:2;),4974636262(13:2;),4974636615(13:1;),4974637317(13:2;),4974637670(13:2;),4974638024(14:1;),4974639465(14:2;),4974639809(14:1;),4974641217(14:2;),4974641577(14:2;),4974641942(14:1;),5022579678(14:1;),5310996749(14:1;),5351575862(14:1;),5402488769(14:1;15:13;16:6;),5456887674(16:1;),5456984290(16:2;),5494054149(16:2;),5544435560(16:2;),5567180387(17:1;),5576569593(17:1;),5633031188(17:4;),5664371117(17:4;),5844816811(17:1;),5889934721(17:2;18:2;),5912313637(18:2;),5921809619(18:2;),5950686756(18:1;),5950830609(18:1;),5960925264(18:1;),5966089485(18:2;),6000618870(2:1;18:1;),6114773114(1:2;18:1;19:9;),6119300167(19:1;),6133390513(19:3;),6133391745(20:2;),6176114691(20:2;),6176858948(20:9;21:6;),6176871439(21:7;22:9;),6183975952(0:1;),6184860354(0:1;),6184995193(0:2;),6186120532(0:5;),6186409027(0:1;),6186409254(1:2;),6206862915(1:3;),6206866677(1:1;),6206868490(1:1;),6207115053(1:1;),6219557576(1:2;),6225099547(5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1;19:1;20:1;21:1;22:5;),6233284111(22:2;23:1;),6236788405(23:2;),6238340468(0:2;2:13;3:8;22:2;),6238835298(3:1;),6238835525(3:1;),6238836357(3:1;),6238837081(3:1;),6238837822(3:1;),6238838528(4:1;),6238839290(4:1;),6238840043(4:1;),6238841354(4:1;),6238842108(4:2;),6238842343(4:1;),6238843128(4:1;),6238843875(4:1;),6238844615(4:1;),6239416246(4:1;),6239580865(4:1;),6240256777(4:1;),6240926079(5:1;),6254115034(5:2;),
77400,4665896876(0:2;1:1;),192299653(1:1;5:1;),1836173247(6:1;),2437926070(7:1;),2902878525(8:1;9:1;10:1;),2902878580(10:20;),3244832720(10:2;),3996125377(11:1;),3998352223(11:1;),4028922835(11:10;),4476805516(11:5;),4665617026(11:4;),4665712499(11:7;),4665891113(11:5;12:2;),4665892165(12:5;),4665897416(12:2;),4665897969(12:2;),4665903885(12:4;),4765556460(12:7;),4811385025(12:2;),4857080139(12:2;),4857081234(12:3;),4857082814(12:2;),4861489847(12:1;),4962227484(2:1;3:1;),4974633892(4:1;),4974634423(5:2;),4974635509(5:2;),4974635914(5:1;),4974636262(5:2;),4974636615(5:2;),4974637317(5:1;),4974637670(5:1;6:1;),4974638024(6:1;),4974639465(6:2;),4974639809(6:2;),4974641217(6:1;),4974641577(6:2;),4974641942(6:2;),5022579678(7:1;),5310996749(7:1;),5351575862(7:1;),5402488769(7:8;8:11;9:2;10:1;),5456887674(9:1;),5456984290(9:2;),5494054149(9:1;),5544435560(9:3;),5567180387(9:2;),5576569593(10:1;),5633031188(12:1;13:3;),5664371117(4:1;13:4;),5844816811(13:1;),5889934721(13:4;),5912313637(13:2;),5921809619(13:3;),5950686756(13:1;),5950830609(13:1;),5960925264(13:1;),5966089485(13:2;),6000618870(13:1;),6114773114(13:10;),6119300167(14:1;),6133390513(14:3;),6133391745(14:2;),6176114691(14:2;),6176858948(14:15;),6176871439(14:10;15:6;),6183975952(0:1;),6184860354(0:2;),6184995193(0:2;),6186120532(0:5;),6186409027(1:1;),6186409254(1:2;),6206862915(1:3;),6206866677(1:1;),6206868490(1:1;),6207115053(1:1;),6219557576(1:1;2:1;10:1;),6225099547(15:22;),6233284111(15:2;),6236788405(15:1;),6238340468(2:11;3:4;10:1;11:1;15:2;16:4;),6238835298(3:1;),6238835525(3:1;),6238836357(3:2;),6238837081(3:1;),6238837822(3:1;),6238838528(3:1;),6238839290(3:1;),6238840043(3:1;),6238841354(4:1;),6238842108(4:1;),6238842343(4:1;),6238843128(4:1;),6238843875(4:1;),6238844615(4:1;),6239416246(4:1;),6239580865(4:1;),6240256777(4:2;),6240926079(4:1;),6254115034(4:2;),
77700,4665896876(0:3;),192299653(0:2;),1836173247(0:1;),2437926070(0:1;),2902878525(0:4;),2902878580(0:9;1:10;),3244832720(1:1;),3996125377(1:1;),3998352223(1:1;),4028922835(1:7;2:3;),4476805516(2:5;),4665617026(2:4;),4665712499(2:1;3:7;),4665891113(3:6;),4665892165(4:5;),4665897416(4:3;),4665897969(4:1;),4665903885(4:4;),4765556460(5:6;),4811385025(6:2;),4857080139(6:2;),4857081234(6:2;7:1;),4857082814(7:2;),4861489847(7:1;),4962227484(7:1;),4974633892(7:1;8:1;),4974634423(8:1;),4974635509(8:2;),4974635914(8:1;),4974636262(8:1;9:1;),4974636615(9:2;),4974637317(9:1;),4974637670(9:2;),4974638024(10:1;),4974639465(10:2;),4974639809(10:2;),4974641217(10:1;),4974641577(11:2;),4974641942(11:2;),5022579678(11:1;),5310996749(11:1;),5351575862(12:1;),5402488769(18:3;19:5;21:12;),5456887674(21:1;),5456984290(21:2;),5494054149(21:1;),5544435560(21:3;),5567180387(18:1;21:1;),5576569593(18:1;),5633031188(0:2;1:2;),5664371117(5:1;6:1;7:1;8:1;),5844816811(9:1;),5889934721(10:1;11:1;12:1;13:1;),5912313637(2:1;3:1;),5921809619(2:1;3:1;4:1;),5950686756(5:1;),5950830609(6:1;),5960925264(7:1;),5966089485(8:1;9:1;),6000618870(10:1;11:1;),6114773114(12:1;13:1;14:2;15:1;16:1;17:1;20:2;21:1;),6119300167(15:1;),6133390513(16:1;17:1;18:1;),6133391745(19:2;),6176114691(19:2;),6176858948(19:15;),6176871439(20:16;),6183975952(20:1;),6184860354(20:1;),6184995193(20:2;),6186120532(20:5;),6186409027(20:1;),6186409254(20:2;),6206862915(20:3;),6206866677(20:1;),6206868490(20:1;),6207115053(21:1;),6219557576(4:1;5:1;21:1;),6225099547(6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:4;19:6;),6233284111(21:2;),6236788405(21:1;),6238340468(12:5;13:6;14:6;21:1;),6238835298(15:1;),6238835525(15:1;),6238836357(15:1;),6238837081(15:1;),6238837822(15:1;),6238838528(15:1;16:1;),6238839290(16:1;),6238840043(16:1;),6238841354(16:1;),6238842108(16:1;),6238842343(16:1;),6238843128(17:1;),6238843875(17:1;),6238844615(17:1;),6239416246(17:1;),6239580865(17:1;),6240256777(17:1;),6240926079(18:1;),6254115034(18:2;),
78000,4665896876(49:3;65:1;),192299653(49:2;),1836173247(49:1;50:1;),2437926070(50:1;),2902878525(50:3;),2902878580(50:1;51:6;52:6;53:6;54:1;),3244832720(54:2;),3996125377(54:1;),3998352223(54:1;),4028922835(54:1;55:6;56:3;),4476805516(56:3;57:1;),4665617026(57:4;),4665712499(57:1;58:6;59:1;),4665891113(59:5;60:1;),4665892165(60:5;),4665897416(61:3;),4665897969(61:1;),4665903885(61:2;62:2;),4765556460(62:4;63:2;),4811385025(63:2;),4857080139(63:2;),4857081234(64:3;),4857082814(64:2;),4861489847(64:1;),4962227484(0:1;),4974633892(0:2;),4974634423(1:1;),4974635509(1:2;),4974635914(2:1;),4974636262(2:1;3:1;),4974636615(3:1;4:1;),4974637317(4:1;),4974637670(5:1;6:1;),4974638024(7:1;),4974639465(8:1;9:1;),4974639809(10:1;11:1;),4974641217(12:1;),4974641577(13:1;14:1;),4974641942(15:1;16:1;),5022579678(17:1;18:1;),5310996749(19:1;),5351575862(20:1;),5402488769(21:1;22:1;23:1;24:1;25:1;26:1;27:1;28:1;29:1;30:1;31:1;32:1;33:1;34:1;35:1;36:1;37:1;38:1;39:1;40:1;),5456887674(41:1;),5456984290(42:1;43:1;),5494054149(44:1;),5544435560(45:1;46:1;47:1;),5567180387(0:1;1:1;48:1;),5576569593(72:1;),5633031188(72:2;73:2;),5664371117(2:1;3:1;4:1;7:1;),5844816811(8:1;),5889934721(8:2;9:2;),5912313637(2:1;9:1;10:1;),5921809619(10:2;),5950686756(11:1;),5950830609(11:1;),5960925264(11:1;),5966089485(3:1;4:1;65:1;),6000618870(65:1;66:1;),6114773114(7:1;67:1;68:1;69:1;70:1;71:1;73:5;),6119300167(73:1;74:1;),6133390513(74:3;),6133391745(74:2;),6176114691(74:2;),6176858948(74:5;75:10;),6176871439(75:3;76:13;),6183975952(77:1;),6184860354(77:2;),6184995193(65:1;77:1;),6186120532(77:5;),6186409027(77:1;),6186409254(77:3;),6206862915(78:3;),6206866677(78:2;),6206868490(78:1;),6207115053(78:1;),6219557576(78:2;),6225099547(78:3;79:13;80:6;),6233284111(80:2;),6236788405(5:1;),6238340468(6:1;65:3;66:6;67:6;68:6;69:4;78:1;79:1;),6238835298(69:1;),6238835525(69:1;),6238836357(70:1;),6238837081(70:1;),6238837822(70:1;),6238838528(70:1;),6238839290(70:1;),6238840043(70:1;),6238841354(71:1;),6238842108(71:1;),6238842343(71:1;),6238843128(71:1;),6238843875(71:1;),6238844615(71:1;),6239416246(),6239580865(72:1;),6240256777(72:2;),6240926079(72:1;),6254115034(73:2;),
78300,4665896876(12:1;13:1;14:2;),192299653(14:1;),1836173247(16:1;),2437926070(16:1;),2902878525(16:4;),2902878580(16:20;),3244832720(16:2;),3996125377(16:2;),3998352223(16:2;),4028922835(16:10;),4476805516(16:1;17:4;),4665617026(17:4;),4665712499(17:7;),4665891113(17:7;),4665892165(17:5;),4665897416(17:2;),4665897969(17:2;),4665903885(17:4;),4765556460(17:7;),4811385025(17:2;),4857080139(17:2;),4857081234(17:3;),4857082814(17:2;),4861489847(17:1;),4962227484(3:1;4:1;),4974633892(5:1;),4974634423(6:1;7:1;),4974635509(8:2;),4974635914(8:1;),4974636262(8:2;),4974636615(8:1;9:1;),4974637317(9:1;),4974637670(9:2;),4974638024(9:1;),4974639465(9:2;),4974639809(9:2;),4974641217(9:1;),4974641577(9:1;10:1;),4974641942(10:2;),5022579678(10:2;),5310996749(10:1;),5351575862(10:1;),5402488769(10:4;11:1;14:7;15:2;16:5;17:3;),5456887674(17:1;),5456984290(17:2;),5494054149(17:2;),5544435560(17:3;),5567180387(8:1;17:2;),5576569593(17:1;),5633031188(17:4;),5664371117(17:4;),5844816811(17:1;),5889934721(17:4;),5912313637(17:3;),5921809619(17:3;),5950686756(17:1;),5950830609(17:1;),5960925264(17:1;),5966089485(2:1;8:1;11:2;),6000618870(11:2;),6114773114(0:2;1:2;5:1;6:1;11:4;),6119300167(7:1;),6133390513(9:1;10:1;11:1;),6133391745(12:1;13:1;),6176114691(11:2;),6176858948(11:2;12:13;),6176871439(13:13;14:3;),6183975952(0:1;),6184860354(0:2;),6184995193(0:1;2:1;),6186120532(0:5;),6186409027(0:1;),6186409254(1:3;),6206862915(1:3;),6206866677(1:2;),6206868490(1:1;),6207115053(1:1;),6219557576(2:2;14:2;),6225099547(14:8;15:13;16:1;),6233284111(16:2;),6236788405(16:1;),6238340468(2:8;3:13;4:13;16:1;17:2;),6238835298(5:1;),6238835525(5:1;),6238836357(5:1;),6238837081(5:1;),6238837822(5:1;),6238838528(5:1;),6238839290(6:1;),6238840043(6:1;),6238841354(6:1;),6238842108(6:1;),6238842343(6:1;),6238843128(6:1;),6238843875(7:1;),6238844615(7:1;),6239416246(),6239580865(7:1;),6240256777(7:2;),6240926079(7:1;),6254115034(8:2;),
78600,4665896876(0:1;2:1;),192299653(3:1;),1836173247(5:1;),2437926070(5:2;),2902878525(5:4;),2902878580(0:1;5:19;),3244832720(5:2;),3996125377(5:2;),3998352223(5:1;),4028922835(5:9;),4476805516(5:5;),4665617026(5:4;),4665712499(5:7;),4665891113(5:6;6:1;),4665892165(6:5;),4665897416(6:3;),4665897969(6:2;),4665903885(6:4;),4765556460(6:7;),4811385025(6:2;),4857080139(6:3;),4857081234(6:2;),4857082814(6:3;),4861489847(6:1;),4962227484(6:1;),4974633892(6:2;),4974634423(6:2;),4974635509(6:1;),4974635914(6:2;),4974636262(6:2;),4974636615(6:1;),4974637317(6:2;),4974637670(6:2;),4974638024(6:1;),4974639465(6:2;),4974639809(6:1;),4974641217(6:2;),4974641577(6:2;),4974641942(6:1;),5022579678(6:1;),5310996749(6:1;),5351575862(6:1;),5402488769(0:8;1:6;6:6;),5456887674(1:2;),5456984290(1:1;2:2;),5494054149(2:2;),5544435560(6:2;),5567180387(7:1;),5576569593(7:1;),5633031188(7:4;),5664371117(0:1;7:5;),5844816811(7:1;),5889934721(7:4;),5912313637(2:2;),5921809619(2:2;7:1;),5950686756(2:1;),5950830609(2:1;),5960925264(2:1;),5966089485(2:2;),6000618870(1:1;),6114773114(1:1;4:11;),6119300167(4:2;),6133390513(4:2;),6133391745(4:3;),6176114691(2:2;),6176858948(2:14;3:1;),6176871439(3:16;),6183975952(3:1;),6184860354(3:2;),6184995193(3:1;),6186120532(3:5;),6186409027(3:1;),6186409254(4:3;),6206862915(4:3;),6206866677(4:1;),6206868490(4:1;),6207115053(4:1;),6219557576(4:2;),6225099547(4:22;),6233284111(4:1;5:1;),6236788405(5:2;),6238340468(0:18;4:1;),6238835298(0:1;),6238835525(1:1;),6238836357(1:2;),6238837081(1:1;),6238837822(1:1;),6238838528(1:1;),6238839290(1:1;),6238840043(1:1;),6238841354(1:1;),6238842108(1:1;),6238842343(1:1;),6238843128(1:1;),6238843875(1:1;),6238844615(1:1;),6239416246(1:1;),6239580865(1:1;),6240256777(1:2;),6240926079(1:1;),6254115034(1:1;2:1;),
78900,4665896876(1:2;),192299653(1:1;),1836173247(1:1;),2437926070(1:1;),2902878525(2:4;),2902878580(2:19;),3244832720(2:2;),3996125377(2:2;),3998352223(3:2;),4028922835(3:10;),4476805516(3:5;),4665617026(3:4;),4665712499(3:6;4:1;),4665891113(4:7;),4665892165(4:5;),4665897416(4:3;),4665897969(4:2;),4665903885(4:4;),4765556460(4:5;5:2;),4811385025(5:2;),4857080139(5:2;),4857081234(5:3;),4857082814(5:2;),4861489847(5:1;),4962227484(5:1;6:1;),4974633892(6:1;),4974634423(6:2;),4974635509(6:1;),4974635914(6:2;),4974636262(6:2;),4974636615(6:1;),4974637317(6:2;),4974637670(6:1;),4974638024(7:2;),4974639465(7:2;),4974639809(7:1;),4974641217(7:2;),4974641577(7:2;),4974641942(7:1;),5022579678(7:1;),5310996749(0:1;),5351575862(0:1;),5402488769(7:2;8:13;9:5;),5456887674(9:2;),5456984290(9:3;),5494054149(9:2;),5544435560(9:1;10:1;),5567180387(10:1;),5576569593(10:1;),5633031188(10:4;),5664371117(10:4;),5844816811(10:1;),5889934721(10:1;11:3;),5912313637(11:2;),5921809619(11:2;),5950686756(11:1;),5950830609(11:1;),5960925264(0:1;11:1;),5966089485(11:2;),6000618870(11:1;),6114773114(12:10;),6119300167(12:2;),6133390513(12:1;13:1;),6133391745(13:3;),6176114691(13:2;),6176858948(13:7;14:8;),6176871439(14:5;15:11;),6183975952(15:1;),6184860354(15:1;16:1;),6184995193(16:1;),6186120532(16:5;),6186409027(16:1;),6186409254(16:3;),6206862915(16:2;17:1;),6206866677(17:1;),6206868490(17:1;),6207115053(17:1;),6219557576(17:2;),6225099547(17:7;18:13;19:2;),6233284111(19:2;),6236788405(19:2;),6238340468(0:13;),6238835298(0:1;),6238835525(0:1;),6238836357(0:1;),6238837081(1:1;),6238837822(1:1;),6238838528(1:1;),6238839290(1:1;),6238840043(1:1;),6238841354(1:1;),6238842108(1:1;),6238842343(1:1;),6238843128(1:1;),6238843875(1:1;),6238844615(1:1;),6239416246(1:1;),6239580865(1:2;),6240256777(1:1;),6240926079(1:1;),6254115034(1:2;),
79200,4665896876(0:3;),192299653(0:1;),1836173247(0:1;),2437926070(0:1;),2902878525(0:4;),2902878580(0:10;1:10;),3244832720(1:2;),3996125377(1:2;),3998352223(1:2;),4028922835(1:4;2:6;),4476805516(2:5;),4665617026(2:2;3:3;),4665712499(3:7;),4665891113(3:3;4:4;),4665892165(4:5;),4665897416(4:2;),4665897969(4:2;),4665903885(5:4;),4765556460(5:2;6:5;),4811385025(6:1;7:1;),4857080139(7:2;),4857081234(7:3;),4857082814(8:2;),4861489847(8:1;),4962227484(2:1;3:1;),4974633892(4:1;),4974634423(5:1;6:1;),4974635509(7:1;),4974635914(8:1;9:1;),4974636262(10:1;11:1;),4974636615(12:1;),4974637317(13:1;18:1;),4974637670(18:2;),4974638024(18:1;),4974639465(18:2;),4974639809(18:1;),4974641217(18:2;),4974641577(18:2;),4974641942(19:1;),5022579678(19:1;),5310996749(19:1;),5351575862(19:1;),5402488769(11:18;19:2;),5456887674(11:2;),5456984290(12:3;),5494054149(12:2;),5544435560(12:2;),5567180387(14:1;),5576569593(14:1;),5633031188(14:1;15:3;),5664371117(15:4;16:1;),5844816811(16:1;),5889934721(16:4;),5912313637(16:1;17:1;),5921809619(17:2;),5950686756(17:1;),5950830609(17:1;),5960925264(19:1;),5966089485(19:2;),6000618870(19:1;),6114773114(0:2;1:2;19:2;20:4;),6119300167(5:1;),6133390513(6:1;7:1;8:1;),6133391745(9:1;10:1;),6176114691(20:2;),6176858948(20:7;21:8;),6176871439(21:5;22:11;),6183975952(22:1;),6184860354(22:1;23:1;),6184995193(23:1;),6186120532(23:5;),6186409027(23:1;),6186409254(23:3;),6206862915(23:2;24:1;),6206866677(24:2;),6206868490(24:1;),6207115053(24:1;),6219557576(24:2;),6225099547(15:1;16:1;17:1;24:6;25:13;),6233284111(26:2;),6236788405(26:1;),6238340468(8:3;9:6;10:6;11:2;26:1;),6238835298(11:1;),6238835525(11:1;),6238836357(11:1;),6238837081(11:1;),6238837822(12:1;),6238838528(12:1;),6238839290(12:1;),6238840043(12:1;),6238841354(12:1;),6238842108(12:1;),6238842343(13:1;),6238843128(13:1;),6238843875(13:1;),6238844615(13:1;),6239416246(13:2;),6239580865(14:2;),6240256777(14:1;),6240926079(14:1;),6254115034(17:2;),
79500,4665896876(0:3;5:1;),192299653(0:2;),1836173247(0:1;),2437926070(0:1;),2902878525(0:4;),2902878580(0:9;1:10;),3244832720(1:2;),3996125377(1:2;),3998352223(1:1;),4028922835(1:5;2:4;),4476805516(2:5;),4665617026(2:4;),4665712499(3:8;),4665891113(3:5;4:1;),4665892165(4:5;),4665897416(4:3;),4665897969(4:2;),4665903885(4:2;5:2;),4765556460(5:4;6:3;),4811385025(6:1;),4857080139(6:2;7:1;),4857081234(7:2;),4857082814(7:3;),4861489847(8:1;),4962227484(8:1;),4974633892(8:2;),4974634423(8:1;),4974635509(8:1;9:1;),4974635914(9:2;),4974636262(9:1;),4974636615(9:2;),4974637317(10:1;),4974637670(10:2;),4974638024(10:2;),4974639465(10:1;),4974639809(11:2;),4974641217(11:1;),4974641577(11:2;),4974641942(11:1;),5022579678(12:2;),5310996749(12:1;),5351575862(12:1;),5402488769(12:2;13:6;14:6;15:6;),5456887674(16:1;),5456984290(16:2;),5494054149(16:2;),5544435560(16:1;17:2;),5567180387(17:2;),5576569593(17:1;),5633031188(17:1;18:3;),5664371117(2:1;3:1;4:1;18:1;),5844816811(2:1;),5889934721(3:1;4:1;6:1;7:1;),5912313637(8:1;9:1;),5921809619(6:1;7:1;10:1;),5950686756(8:1;),5950830609(9:1;),5960925264(10:1;),5966089485(11:1;12:1;),6000618870(13:1;14:1;),6114773114(0:2;1:1;15:1;16:1;17:1;18:1;19:1;20:1;21:1;),6119300167(1:1;),6133390513(6:1;7:1;8:1;),6133391745(9:1;10:1;),6176114691(11:1;12:1;),6176858948(13:1;14:1;15:1;16:1;17:1;18:1;19:1;20:1;21:1;22:1;23:1;25:4;),6176871439(25:12;26:4;),6183975952(26:1;),6184860354(26:1;),6184995193(26:2;),6186120532(26:5;),6186409027(26:1;),6186409254(26:2;),6206862915(26:3;),6206866677(26:1;),6206868490(26:1;),6207115053(26:1;),6219557576(26:2;),6225099547(11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1;19:1;20:1;21:1;22:1;23:1;24:2;25:7;),6233284111(26:2;),6236788405(26:1;),6238340468(18:2;19:6;20:6;21:3;26:2;),6238835298(21:1;),6238835525(21:1;),6238836357(21:1;),6238837081(22:1;),6238837822(22:1;),6238838528(22:1;),6238839290(22:1;),6238840043(22:1;),6238841354(22:1;),6238842108(23:1;),6238842343(23:1;),6238843128(23:1;),6238843875(23:1;),6238844615(23:1;),6239416246(23:1;),6239580865(24:1;),6240256777(24:2;),6240926079(24:1;),6254115034(24:2;),
