50700,1
51000,3
51300,9
51600,16
51900,27
52200,41
52500,20
52800,29
53100,17
53400,41
53700,33
54000,30
54300,21
54600,24
54900,28
55200,25
55500,26
55800,7
56100,10
56400,37
56700,20
57000,38
57300,48
57600,16
57900,30
58200,24
58500,20
58800,17
59100,16
59400,24
59700,19
60000,41
60300,30
60600,22
60900,36
61200,6
61500,12
61800,41
62100,17
62400,34
62700,35
63000,33
63300,24
63600,29
63900,27
64200,24
64500,28
64800,24
65100,21
65400,20
65700,21
66000,26
66300,22
66600,12
66900,21
67200,31
67500,27
67800,28
68100,27
68400,22
68700,29
69000,26
69300,51
69600,21
69900,35
70200,39
70500,17
70800,31
71100,21
71400,20
71700,36
72000,31
72300,33
72600,33
72900,21
73200,29
73500,25
73800,29
74100,27
74400,28
74700,31
75000,26
75300,34
75600,15
75900,28
76200,23
76500,42
76800,29
77100,33
77400,23
77700,30
78000,72
78300,34
78600,17
78900,25
79200,27
79500,31
79800,29
80100,42
80400,27
80700,27
81000,52
81300,40
81600,16
81900,14
82200,30
82500,26
82800,32
83100,26
83400,34
83700,35
84000,39
84300,36
84600,36
84900,27
85200,37
85500,32
85800,15
86100,42
86400,41
86700,21
87000,23
87300,33
87600,28
87900,30
88200,28
88500,37
88800,20
89100,29
89400,31
89700,34
90000,31
90300,26
90600,27
90900,25
91200,23
91500,25
91800,36
92100,28
92400,26
92700,14
93000,21
93300,32
93600,30
93900,25
94200,26
94500,27
94800,44
95100,54
95400,26
95700,30
96000,43
96300,33
96600,43
96900,40
97200,42
97500,48
97800,39
98100,48
98400,52
98700,48
99000,56
99300,46
99600,43
99900,44
100200,39
100500,41
100800,44
101100,45
101400,35
101700,36
102000,40
102300,45
102600,30
102900,39
103200,48
103500,41
103800,40
104100,31
104400,38
104700,41
105000,39
105300,45
105600,46
105900,46
106200,36
106500,28
106800,40
107100,39
107400,43
107700,52
108000,25
108300,45
108600,26
108900,56
109200,58
109500,47
109800,50
110100,60
110400,39
110700,37
111000,30
111300,43
111600,35
111900,28
112200,33
112500,48
112800,39
113100,38
113400,40
113700,39
114000,31
114300,41
114600,27
114900,42
115200,30
115500,39
115800,31
116100,48
116400,49
116700,33
117000,35
117300,53
117600,38
117900,21
118200,48
118500,38
118800,41
119100,31
119400,28
119700,34
120000,36
120300,35
120600,24
120900,40
121200,36
121500,39
121800,35
122100,32
122400,67
122700,27
123000,38
123300,46
123600,30
123900,63
124200,46
124500,39
124800,39
125100,41
125400,39
125700,34
126000,52
126300,34
126600,35
126900,42
127200,38
127500,45
127800,31
128100,33
128400,35
128700,38
129000,40
129300,40
129600,44
129900,39
130200,43
130500,41
130800,42
131100,40
131400,32
131700,34
132000,39
132300,98
132600,33
132900,40
133200,33
133500,35
133800,21
134100,47
134400,38
134700,27
135000,43
135300,27
135600,40
135900,35
136200,54
136500,36
136800,33
137100,43
137400,48
137700,37
138000,20
138300,48
138600,31
138900,23
139200,26
139500,82
139800,39
140100,40
140400,39
140700,25
